태영,백승빈,오주연,A,차주형,최강민(차주형),강경민(차주형),지나가는 1학년이니???,한재원,박세윤,현채원,김도현,박준서인척하는 한재원과 박세윤
,야 1만도 존나많은건데 숫자가중요한게아니라 처벌이나 빡세게 해라 일반야동도 아니고 실제영상을 텔레그램으로 찾아가서 봐놓곤 몰랐어요로 넘어가게하지말고,,섹스타임,,,,,띄불,젖가튼,,,
,그냥 뒤져 빙신아,,섹스타임69,,,,,띕때,젖같은,,,
,ㅅㅂ유투버새기들 꼴보기싫다유투브 언제망하냐,,섹스테잎,,,,,띕새,젖까,,,
,아 존나 웃기라..,,섹스테크닉,,,,,띕알,젖까는,,,
,가세연에서 퍼온거 보솤ㅋㅋㅋㅋㅋ가세연 똥은 알지??가세연도 아줌마 부대가 점령 했더라김세의가 주예지 팬이라니까 아줌마들 부들부들,,섹스토이샵,,,,,띠껍,젖꼭지,,,
,병시나 워크넷은 실업급여받으려고  구라 지원도 많다 구지 통계자료 가져오려면 사람인꺼 쓰면됨 근데 내가 조사해보니 꿀알바는 증발한건 맞음,,섹스토이코리아,,,,,띠뎅,젖나게,,,
,저거 백퍼 늙어처먹은 좌파틀딱새끼가 승인하거임.밑에 일러스터 젊은새끼는 장난삼아 나라를 사랑하는 애국에서 애자에 아이디어 얻어애몽? ㅇㅈㄹ하는게 아니고 걍 밥먹고 편의점에서 초코에몽 사처먹다가시발 이딴 우유에도 도라에몽있는데... 저작권 쯤이야하고 만들었는거임.위대가리 새끼들은 애몽에 애자가 애국이랑 비슷하니밀어붙여하고 생각없이 사인한것임.이거아니면 문재인이 개새끼,,섹스투데이,,,,,띠랄,젖도,,,
,먹버전용인듯 이혼남도 한번냠냠 전현무도 어린년만나기전에 한번냠냠 쟤는 저래놓고 똥차보내고 벤츠온다고 믿고있겠지,,섹스트립,,,,,띠바,젖마난,,,
,미친색기 현대빨고 자빠졋노?,,섹스파일,,,,,띠바랄,젖만한,,,
,한심한 놈들 @@,,섹스파크,,,,,띠박,젖물,,,
,저새끼 다리 존나 짧네,,섹스포르노,,,,,띠발,젖밥,,,
,쪽바리 만화 보러 가느라 애썼~나베,,섹스포르노molca,,,,,띠발넘,젖빠지게,,,
,모하비가 훨씬 튼튼함  펠리는 걸레임,,섹스포르노샵,,,,,띠발년,젖탱이,,,
,애미고양이 반병신 만들어 놓을테니,,섹스포르노트위스트김,,,,,띠발놈,젖통,,,
,우리나라 저능아들은 주적이 미국이라든데 ㅋㅋㅋㅋㅋㅋ,,섹스포섹스티비,,,,,띠발뇬,조가틍,,,
,안그래도 요즘 숙박업도 울상일텐데......33오오 모이지말고. 시키들아.,,섹스포유,,,,,띠발자식,조까,,,
,나중에 바뀔 것을 생각하고 공동명의 주장하는거라고 게이야페미들이 더 나갈 것을 계산하고 있는거야요즘이 아니라 미래를 보고 움직이는거라고그리고 대한민국 하는 꼬라지로 보아 실제로 그렇게 될 가능성도 높음,,섹스포인트,,,,,띠방,조까는,,,
,내가 틀니 극혐해서 틀니 놀리다가 30일 차단도 당해봤지만 넌 ㅁㅈㅎ 준다노친네 같은 컴맹 틀니 상대로 조립컴 추천하는거 아니다,,섹스포탈,,,,,띠방새,조까라,,,
,고딩들 가르치는 것 뿐만 아니라 성인 교육 시장도 마찬가지야 머리 굵은 새끼들 상대로 하다 보니 아주 대놓고는 표현 안할뿐,,섹스프리덤,,,,,띠방세,조까튼,,,
,존나 웃기네 이거ㅋㅋㅋㅋㅋㅋㅋ,,섹스피아,,,,,띠방쉐,조낸,,,
,븅신새끼 어디서 존나 그지 같은 김밥패딩만 입고 댕겼나..두번 접으면 니가 입고댕기는 점퍼정도 부피도 안나와 병신아..식당가서 반접어서 의자뒤에 걸면되 아니면 빈자리에 둘둘말아 놓으면되고..요즘 가격좀 나가는 패딩은 경량화 되고 충전재 소재도 좋아..뭔 패딩이 다 풍선처럼  빵빵해서 부피가 다 큰줄 아냐?그리고 겨울에 따뜻한게 젤편한거지 뭐가 편한거냐?누가 너한테 롱패딩 안입으면 죽인다고 협박이라도 하냐? 세상불편해서 어떻게 사냐?,,섹스하까,,,,,띠밸,조또,,,
,생긴 거나 목소리나 딱 트렌스젠더 같은 게 더럽게 나대네,,섹스하네,,,,,띠버럴,조루,,,
,원래 사회주의 이론 자체가 존나 아름답거든,,섹스하리,,,,,띠벌,조빠라,,,
,사람들 착각하는데 우리나라 페미 이제초기야 아직 갈길이 존나멀었어,,섹스한국,,,,,띠벙,조빠지게,,,
,문재인보다 문재인 빠는 시발 개새끼들이 더 좃같네 개간나 시발년들,,섹스해죠,,,,,띠벙세,조빱,,,
,응 강남 개포동에 썩다리 아파트가 20억이야,,섹스헨타이,,,,,띠벨,조옷나,,,
,아니나 다를까 가능 댓글 있네 시발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,섹스호빠,,,,,띠병,조질래,,,
,미안하다게이야 심적으로는 내가 너보다 수십배는 힘들다 진심이다게이야,,섹스홀,,,,,띠볼,조카툰,,,
,개병신세끼!,,섹시,,,,,띠봉,조털,,,
,pornhub에 코스프레하고 떡치는거 있다,,섹시TV,,,,,띠봉세,족가튼,,,
,7등급이면 공부할 머리도 의지도 없는 좀비들이야.,,섹시wave,,,,,띠봉알,좀물,,,
,"나도 리재명 존나 싫어하지만, 이국종이 옳은 일 한거였다고 생각한다.",,섹시갤러리,,,,,띠부랄,좃,,,
,기생충들,,섹시걸,,,,,띠부랄놈,좃가튼,,,
,저런식의 여론조성은 결국 남자들피해로 돌아옴 나중에 가봐라 진짜후회한다 여가부시발년들은 철지난 성교육으로 ㅈㄴ남자들은 이상성욕자니 니들이 성욕을 해소하는모든방법은 다 불법적이고음성적이다라고하는 마당에 뭐가 해결되겟냐ㅋㅋ 야동사이트도 다 막는 나라다 생각보다 더 병신같은생각을 윗대가리들은 하고있음,,섹시게이트,,,,,띠부럴,좃같은,,,
,ㅋㅋ병신새끼 다리로 떨어질거면 얼굴이라도 쳐박지 말던가 아니면 첨부터 그냥 머리로 쳐박던가 애매하게 떨어져서 둘 다 꼬라박네ㅋㅋㅋ다리부러져서 대가리 한 대 빡 때리고가면 쫓아오지도 못하겠노 ㅋㅋㅋㅋ,,섹시나라,,,,,띠불,좃까,,,
,북한은 존나 민감한 부분이라서 정부에서 돈 줄 끊어버리면 지들 잇속은 못챙기니...,,섹시나이트,,,,,띠불넘,좃까는,,,
,최승호 병신,,섹시누드,,,,,띠불년,좃까라,,,
,씨발것들!!!,,섹시뉴스,,,,,띠불놈,좃나,,,
,놀토랑 맛녀석들 재방 존나 하던데 돈 쓸어담겠네 ㅋㅋ,,섹시맵,,,,,띠붕,좃나게,,,
,멍청한 놈들,,섹시무비,,,,,띠붕세,좃도,,,
,하여튼 전라도놈들은 뒷배가 좋아 ㅉㅉ,,섹시사진,,,,,띠뷀,좃물,,,
,재미도없고 에휴 ..,,섹시샵,,,,,띠브랄,좃밥,,,
,박근혜 애미 애비가 창자까지 돌림빵쳐당한 육변기 개갈보지 씹창년새끼 ㅇㅇ,,섹시성인용품,,,,,띠브럴,좃빠지게,,,
,주작하네 시발 니가 삼전 무선시업부라고? ㅋㅋㅋ,,섹시섹스코리아,,,,,띠블,좄까,,,
,이새끼 위장홍어다 ㅁㅈㅎ줘라,,섹시스타,,,,,띠블넘,좆,,,
,팩트는 보니하니 20살 차이나는 동생을 주먹으로 패는게 어린이방송에서 그대로 송출사나 그냥 쿵쾅이들이 트집잡으려 했는데 실패 그냥 넘어감bj는 98%가 쓰레기새끼들만 있어서 욕처먹어도 마땅 아무 상관 없음,,섹시신문,,,,,띠이바,좆,,,
,BBW 취향이긴한데 가슴은 빵빵해서 좋다 이기,,섹시씨엔엔,,,,,띠이발,좆구녕,,,
,"베트남도 똥남아에서 한가닥 하는 나라 아니냐? 미국,프랑스,짱깨도 몰어낸 나라잖노?",,섹시아이제이,,,,,띠이방,좆까,,,
,니가 근거 가져오면 니가 이기는 게임 아니겠노 이 씨발년아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,섹시에로닷컴,,,,,띠이밸,좆까는,,,
,수많은 시체팔이로 단련된 +9강멘탈 소시오패스 종결자 ㄹㅇ,,섹시엔TV,,,,,띠이벌,좆나,,,
,오늘도 여자에 미친 일게이들 ㅁㅈㅎ,,섹시엔몰,,,,,띠이볼,좆대가리,,,
,윤석열 청원 답변 예상 ) 검찰개혁 국민의 엄중한 명령 최근 인사 위법이 아닌 지극히 정상적인 정기적 인사의 하나 청와대는 아무 잘못없음 응 조까 검찰개혁 완수할꺼야,,섹시연예인,,,,,띠이불,좆도,,,
,틀베라케,,섹시재팬,,,,,띠이붕,좆물,,,
,16살때 질싸당했네 ㅋㅋㅋㅋ,,섹시제팬,,,,,띠이팔,좆밥,,,
,젤 공장충들 화장실에서 오줌 모아놨다가 젤에 넣음,,섹시제펜,,,,,띠이펄,좇,,,
,노무현 오랜만에 외출 나왔노,,섹시조선,,,,,띠이풀,좇까,,,
,ㅈㄹ 가난이 죄냐? 기다려주는 것도 필요하다. 세상사는게 그렇다. 어린새끼라그런지 좆도모르는거같은데 너처럼살면 칼맞어,,섹시존,,,,,띠키,죳,,,
,조까 ㅂㅅ아 살면서 만날일도 별로없는 성씨들가지고 한무당질하지마라,,섹시짱,,,,,띠파,죶,,,
,미친놈 어디서 되도 않는 주작질이노,,섹시촌,,,,,띠팔,죶가튼,,,
,진지하게 현역 서성한 밑이면 걍 포기해 허송세월가능성 높음 나이먹으면 대가리굳어서 더힘들다,,섹시코디,,,,,띠퍼,죶빠지게,,,
,극단적 선택이 자살만 있는 것더 아니고 개나소나 극단적 선택이래 ㅋㅋ,,섹시코리아,,,,,띠펄,지랄,,,
,명문가 양반집 자손이면 이해라도 가는데 지금 대한민국 국민 99%는 그냥 쌍놈들이다.  쌍놈들이 뭔 제사냐? 지들이 양반집이라는놈들 족보는 다들 있고? 족보 있으면 대대손손 내려오는 문집들은 있고? 이건 정말로 위조가 불가능하거든 하루이틀만에 만들수도 없고 지식이 없으면 만드는것 자체가 불가능한게 문집이다. 문집없는것들 다 쌍놈들이다. 그리고 선조로부터 내려오는 선산들은 다 있냐? 이런거 하나라도 없는것들은 다 쌍놈들이다.,,섹시클럽,,,,,띠풀,짬지,,,
,다음 가봐라... 진짜 거기는 종교더라 ㅅㅂ 바로 탈퇴했다 카카오도 곧 탈퇴할거다,,섹시클릭,,,,,띱,찌찌,,,
,노트북등 IT 제품은 브랜드도 중국산이아 등신아 꼭 좆도 모르는 새끼들이 컴퓨터 아는척 오진다니깐  비유도 등신 같이함 16기가 브랜드 란다 씨발 ㅋㅋ괜히  모르면서 나서는 애들 보면 김치년 보는거 같아서 딥빡이 쳐오름,,섹시팅하자,,,,,띱데,창남,,,
,좃 때라 쫄보새퀴야,,섹시팬티,,,,,띱때,창녀,,,
,병신짓엔 한마디할수도 잇지,,셀카,,,,,띱때끼,창녀촌,,,
,일베새끼들 하고 싶은말 많으면서 아끼는거 보소 ㅋㅋㅋ,,셀프카메라,,,,,띱새,창년,,,
,목사한테 빤쓰내림!,,소라가이드,,,,,띱세,창뇨,,,
,내가 이래서 결혼하기가 무섭다 결혼하기전에 어떤년인지 어떻게 알 수 있겠냐 막상 그 본성이 마지막에 나올지,,소라가이드-에로천국,,,,,띱쉐,창뇬,,,
,둘다 병신새끼들인데 잘만났구만,,소라가이드TO,,,,,띱쎄,챵녀,,,
,ㅋㅋㅋㅋ ㅂㄷㅂㄷ 거리는거 보니 대대로 그지새낀가보네 .,,소라가이드앤소라가이드,,,,,띱쒜,챵년,,,
,사람색끼 말을 믿읍시다,,소라가이드천사,,,,,띱할,챵뇬,,,
,씨발 존나 무섭네유관순 열사님 ㅠㅠ,,소라스가이드,,,,,띱헐,처녀막,,,
,결국은 조직의 최상위 권력자들 따까리 밖엔 안됨.,,소라의MissTopic,,,,,뤼미럴,최음제,,,
,존나 웃기지???더 화를 불러내는 행동을 해 그러면서 차별을 하지 말래 미친 개새끼들이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ깔끔하게 단정하게 매너있게 시위 퍼레이드해도 시선이 바뀔까 말까인데 좆같이 벗고 어린애들 절대 보면 안 될 미친짓을 한다구... 거 참 이해 못 할 새끼들이야 그러니 항문 똥나오는 곳에 쥬지를 넣지,,소라의가이드,,,,,리미랄,카섹,,,
,역시 일베구더기 모자리들은,,소라의섹스코리아가이드,,,,,리미럴,카섹스,,,
,주예지 생각이 대한민국 여자들 생각일까 두렵다 뒤지게패고싶은 밤이다,,소라의야설공작소,,,,,리미썅,캐세끼,,,
,발기부전 냉동자지 에,,소라의프로포즈,,,,,리얼섹,캐쉬버그,,,
,니애미 김정은 후장빨이년 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,소라즈가이드,,,,,립서비스,캐시버그,,,
,저말이 틀렸냐고 대깨문들아 팩트로맞으니 아프니,,쇼걸클럽,,,,,링기미,큰보지,,,
,가세연에도 나오던데 좌빨 강사면 절대 안 나가지,,쇼우망가,,,,,ㅁ1친놈,큰자지,,,
,갱북도 홍어잠식 많이됐음,,쇼킹동영상,,,,,막간년,페니스,,,
,니말대로 천한직업이야말로,,쇼킹섹스,,,,,막대쑤셔줘,포르노,,,
,"알겠다이기ㅋㅋ 딱 채찍쳐맞는거 좋아하는 한국식 마인드네. 노예마인드.  조금만 성공한 사람이 뭐라하면 똥오줌 못가리고 찬양하기 바쁘노.  씨발 유명해지면 똥을싸도 박수를 쳐준다던데 정말이구나...ㅎ 손주은 영상 다시 한번 더 보길바란다. ㅂㅅ같은 개똥철학이나 읊어대면서 어린십대들한테 창녀운운하는게 좋게보이는지.. 그리고 그영상보면 학생 뺨싸대기 때리는것도 나옴. 편집해서 영상은 안나오고 소리만 나오는부분..  그런것들은 현실능욕이라고 단순히 치부할 것들이 아님.  인간 쓰레기들이나 할법한 말이고 행동이지.  손돼지새끼 인성은 예전부터 유명했음.  어린애들 상대로도 감정조절 못해서 싸대기때리는건 예사고, 잠깐 꿈뻑 조는 학생한테 ""넌 삼수나 해, 이새끼야!""  라는 식의 폭언도 일삼았었음.  강사는 수업 가르치는거나 잘가르치면 될것이지, 언어적으로든 신체적으로 폭력을 일삼는다면 그건 인간쓰레기지.  미국이었으면 깜빵갔을일이다.",,쇼킹섹스코리아,,,,,막대핥아줘,포르노사진,,,
,어제 야간작업까지하고 술쳐먹고 곯아떨어진듯ㅋㅋㅋ,,쇼킹에로,,,,,만져볼래,포르노섹스,,,
,응 페미년 자국이라고 나누는 너가 인종차별주의자다,,숙모보지,,,,,만져주께,폰색,,,
,이새끼 백퍼 보배분탕이네 ㅋㅋ 내가 말이 많으면 논리로 반박해 시발년아 어서 좆거렁뱅이새끼가 최저시급타령이여,,스와핑,,,,,만져줘,폰세엑,,,
,그냥 병신 프로그램,,스타킹포유,,,,,만지고파,폰섹,,,
,같은 자국민이 아니니까 좆도 하루한끼 먹이고 하루종일 일시키고 개구리에 돌멩이 던지듯 쌍놈들 대가리에 돌던지고 여종들 돌림빵해도 양심의 가책을 받지않을수있는거임.,,신마담,,,,,만지는중,폰섹스,,,
,머가리 용량 다차서 트져 뿟노?,,실리콘하우스성인용품,,,,,만지면커진다,폰쉑,,,
,하여간 흉기 언플 존나함. 이제 안먹히지 자국민이 호구도 아니고,,심야TV,,,,,맛간년,폰쌕,,,
,병신새끼 지 이야기 쳐하고 자빠졌네.,,심한포르노,,,,,맛없는년,폰쎅,,,
,그런말 하는 너도 결국 당해보면 그딴소리 하지도 못할걸?,,싸죠,,,,,망할새퀴,프리섹스,,,
,가만히 좀 있지  왜  얘기해서 통까흥  알고리즘 가동했네  씨발,,싹쓰리닷컴,,,,,매춘,플레이보지,,,
,혐세의 한국외대 나온 성제준 엄청 무시하던데 (지는 삼수지만 서울대라서 이해는 함)같은 중경외시 주예지 겁나 까겠노ㅋㅋ,,쌕쌕이티비,,,,,매친년,한번꽂자,,,
,ㄴㄷ 정규재 신의한수 안정권 좌좀빨갱이 홍어새끼,,쌩molca,,,,,매친놈,한번주께,,,
,"정상이 어딨노 다 본성은 미친 마음이지.  근데 깨달은게 본성을 거스르고 반대로 나아가는게 인생인거 같더라. 본성대로 살면 좃같아짐,, 특히 같이 살면.., 여튼 감사.",,쌩몰카,,,,,매친뇬,한번줄래,,,
,지랄도 풍년일세~~,,쌩보지,,,,,먹고보니내딸,핥아주께,,,
,내가 173에 저러고 다니는데 시발미안하다 이기..,,쌩보지쑈,,,,,먹고보니누나,핧아줄께,,,
,와 난 55인치인가 그거 이번에 사면서 와이프보고 큰티비를 모하러 사노 했거든 어차피 테블릿 많이 쓰니깐 75면 존나크것다 진짜ㅋㅋㅋㅋ,,쌩쇼,,,,,먹고보니딸,함대주까,,,
,고뱃은 진도 다 뺀후 하는게 정섯임적어도 키스는 하고 고백해 아다새끼들아,,쌩쑈,,,,,먹고보니똥개,함대줄래,,,
,기술직 폄하자체가 병신아 차라리 공장간다고 하지빙신아,,쌩포르노,,,,,먹고보니엄마,함빨자,,,
,시발년이네남친 잇냐?,,씨누드21,,,,,먹고보니응아,항문,,,
,의대생인데 의대교수님들이 항상 강조하시는게 '인성'보다는 '실력'이다. 왜 그런지 아냐??아무리 사명감이 투철하고 배려심이 깊어도 실력 후달려서 매스질 잘못하고 오진 한 번 하면 사람 죽는거야. 우리나라 인간들이 얼마나 열등감에 찌들어있는지 알 수 있는게 그 분야에 종사하는 전문가들의 견해따윈 개무시하고 그저 지들한테 쉬운 도덕적 잣대로 남들을 흠집내고 까내리는게 요즘 대한민국 풍조임. 참 개탄스럽다. 아 맞다 문재인 씨발개새끼.,,씹,,,,,먹고보니재수,허벌,,,
,레알 둘다 병신.. 근데 안물어보고 멋대로 해버리는 인간들은 상종안하는게 답이다.,,아마걸포르노,,,,,먹고보니처제,허벌창,,,
,보고느낀것레미본야스키 사진씹간지최홍만 브록 경기존나기대햇엇는데 김민순가누구로 대체대서 노무아쉬었던기억홍만이 타이슨은언제만낫누,,아색기가,,,,,먹고보니형수,호로년,,,
,저세끼들이 어떻게 무너지고 남은 인생과 주변이 끝장 나는지 꼭 지켜본다.시발,,아이러브섹스,,,,,먹은넘,호로새끼,,,
,쪽본은 이대로 쭈우욱 좟되길,,아이러브에로스쿨,,,,,먹은년,호로새리,,,
,신천지사람들은 치료안해준다고 발표하면되는데.. 개새끼들,,아이섹스스타,,,,,먹은놈,호로색,,,
,개노답 대구,,아이제이섹스,,,,,먹은뇬,호로색끼,,,
,사기당하는거 유튭채널 개설하면 돈  존나게 벌듯,,아일러브섹스티비,,,,,메췬년,호로자슥,,,
,자기가 짠따다 싶으면 돈 많이 벌면 된다 나처럼,,알몸,,,,,메췬놈,호로자식,,,
,이래서 개독 개독 하는거군요,,애로,,,,,메친넘,호모섹기,,,
,외조카들 존나 이뻐해주는 삼촌도 있다 이기얌.,,애로영화,,,,,메친년,호모쎄끼,,,
,막지무지 존나귀엽다 나 맨날보는데,,애마부인,,,,,메친놈,호빠,,,
,ㅇㅈㅋㅋ 속으로는 ㅈㄴ게 찔리는일게이들인데,,애자매,,,,,메친뇬,호스트바,,,
,개독 일베 핑크탕 신천지가 싫어할 내용이네여,,야게임,,,,,목따,호스트빠,,,
,게이야 나랑 상황이 비슷하노 나도 개 좇같은놈 땜에 미치겠다 어쩌겠노 인생 길게 보면 이 순간도 곧 지나가겠지하고 맘 잡으면 또 씨발 좇같은새끼 죽이고 싶고 매일 반복이다 근데 별것도 아닌 병신땜에 내 중심이 흐트러지면 쪽팔리자나. 힘내자 소중한 가족이 한새끼땜에 분위기가 안좋으면 되겠노 항상 니가 젤 위다.,,야게임즈닷넷,,,,,몸뚱이줄께,혼음,,,
,한때 한솥밥 먹던 진중권이 저 진영에서 잠시 이탈해 좌파새끼들 개소리하는거 저격하고 있으니까 저렇게 주목 받는거지 우파라고 무슨 아가리 닫고 있는 그런 상황 절대 아님,,야겜,,,,,몸안에사정,화냥,,,
,안동에 왜 가셨니껴?집이 안동이니껴?식사는 맛있게 했니껴안동에 마사지는 어떠니껴아 ㅅㅂ 한우 보고 한우먹으로 나가야겠다,,야동,,,,,물확뺄,화냥년,,,
,김밥은 어느 나라 음식이노? ㅋㅋㅋㅋ 이 씨발년아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,야동게시판,,,,,뭬친년,화류,,,
,전시라고 말했고 여럿이서 사람 병신만들기 쉽고 죽은자는 말이없다.내목숨을 위해서 기꺼히 엿같은 새끼에게 내 K2 소총으로 후장을 갈겨줄테다 그게 간부라고 해도 말이지간부새끼땜에 죽나 다르게죽나 죽는건 매한가지,,야사,,,,,뭬친놈,화양년,,,
,조까셈 내 친구도 지능 솔직히 명수보다 ㅆㅎㅌㅊ데 돈 잘벌고 여자 잘사먹고 다님,,야설,,,,,뮈칀,후레자식,,,
,그렇게 생명이 소중하면 덜 소중한 돈을 쳐 가져와놓고 그딴소리를 씨부리던지 ㅋㅋㅋ,,야설공작소,,,,,뮈칀세리,후장,,,
,"ㅆ선비들 많네. 저게 못할말도 아니고, 7등급이면 용접해야지..",,야설신화,,,,,뮈칀세이,후장입사,,,
,뒤져라,,야설의문,,,,,뮈친,ac발,,,
,음 근데 일게이들은 관계없자나. 결혼 안할거자나?,,야시,,,,,뮈친년,x대가리,,,
,민주당 드루킹댓글조작알바 새끼들 정신 못차렸네~~~~!!!,,야시25TV,,,,,뮈친놈,,,,
,그냥 길거리에서 돌로 때려죽여야...,,야시MTV,,,,,뮈친세리,,,,
,이 새끼가 이 글에 나온 틀딱마인드네 딱 ㅋ,,야시molca,,,,,뮈친세이,,,,
,씨발새끼들......,,야시걸,,,,,뮈친쉑이,,,,
,짱깨유학생한테 들었는데 지들도 지네나라 식품 못믿어서 저러는거라카더라. 비닐포장되어있는것도 다 찢어서 만져보고 산다고함 ㅋㅋㅋㅋㅋㅋ,,야시꾸리,,,,,믜칭넘,,,,
,애초에 똥이 담겨있던 내장을 쳐먹는데누린내가 안날수가 잇냐 씹병신년아대충 쳐먹든가 아니면 락스로 빨아 쳐먹든가 병신년아ㅁㅈㅎ 놓고간다 리뷰충새끼한테 전해주라,,야시네,,,,,미랄,,,,
,왜 까면 안됨? 지금 조선시대임?,,야시녀,,,,,미럴,,,,
,해머가 존나쎄고 나머진 쓰레기,,야시랭크,,,,,미륀넘,,,,
,웃고간다 병신아,,야시룸,,,,,미륀년,,,,
,보빨 ㅇㅂ,,야시시,,,,,미린넘,,,,
,"저 년만 그런게 아니라, 일게이들도 평상시엔 저럼요.",,야시캠,,,,,미린년,,,,
,걱정마 넌 암으로 안죽고 굶어 죽을거여,,야시코리아,,,,,미이친뇬,,,,
,삽자루가 뭔 우파여 또라이인가,,야애니,,,,,미진넘,,,,
,"핵융합로 완성!  발표를 못하는 이유>> 세계석유시장때문에... 미국주가곤두박질  중동은 거지나라로전락하고러시아는 다시 3개국으로쪼개짐 짱깨는 기름값요동 처서 개망함 일본은  지네가쓸 기름만 뽑아냄 한마디로핵융합로완성은 경제를 요동 치게만들고 새로운 경제구조를 만들게된다 그게 이반도놈들이이룬 성과다  헤헤,,",,야오이,,,,,미진뇬,,,,
,말 좆같이하는것보소 씨발련이 도끼로 대가리 두동강 내버릴까보다 십새꺄,,야하네,,,,,미찬놈,,,,
,"한국넘들 이중성이 머냐면, 지가 안당해보면 아주 옳은 소리 하는데,  지가 당하면 다른소리한다.ㅋ",,야하다,,,,,미찬뇬,,,,
,흑수저로 태어 나면 부모는 자식에게 아무런것도 바라면 안되는게 맞음존나 못살게 태어나서 너는 성공해야 된다라는 말을 하는 부모 있으면그냥 호적파서 나와라니 인생은  가족에게 평생 호구가 될것임,,야한,,,,,미췐년,,,,
,그럼 꼽아 놓고 하면 좆질로 분수 가능?,,야한거,,,,,미췬,,,,
,그만 부들거려 노가다새끼들아,,야한걸,,,,,미췬넘,,,,
,지랄 옆차기 중..,,야한것,,,,,미췬년,,,,
,뭔거짓말븅신아,,야한게임,,,,,미췬놈,,,,
,내 숏패딩은 캐구  칠리왁  사람들 은근 별로 없음. 다른 캐구는 존나 많은데,,야한그림,,,,,미췬뇬,,,,
,와 씨발 상상불허,,야한놈,,,,,미췬세리,,,,
,쟤는 레알 ㅈ됨ㅋㅋ요즘같이 성관련 처벌 심하게하는때에죄질이 안좋아도 너무 안좋음제발 몇십년 감방에서 썩었음좋겠다,,야한놈SEX,,,,,미췬세이,,,,
,개소리 머엉,,야한누드,,,,,미칀년,,,,
,그게 왜그런줄 아냐 지금 그렇게 하다가는 좃되거등,,야한동영상,,,,,미칀놈,,,,
,따악 화산이었으면 천베인데하필 따알이네,,야한만화,,,,,미치넘,,,,
,물론 은혜의강 같은 멍청한집단은 욕먹어도 쌈. 욕 더먹어야됨,,야한밤,,,,,미치뇬,,,,
,돈받고 짜고치면서 개소리는..,,야한밤TV,,,,,미친,,,,
,병신 니가해보든가,,야한밤티브이,,,,,미친구멍,,,,
,조센에 돈벌러 와서 조센 당하고 돌아간 외노들때문이지큰돈 벌면서 뒷다마 까는  똥남아 놈이나 노비마냥 돌리는 조선놈이나 둘다 똑같은 후진국 민도,,야한사이트,,,,,미친넌,,,,
,ㅇㅇ 짱깨  유튜버들  어이없는 상황  컨텐츠가 유행임  주작성이 심해서  대부분 티가남   샷시점이    어쩌다 찍은  스냅샷이 아님,,야한사진,,,,,미친넘,,,,
,역시  도로위든 어디든 기운 안젛은 새끼는  걸러야되는게 진리인거 같다 ..,,야한소설,,,,,미친년,,,,
,뭐가 레전든데 씹새야 ㅁㅈㅎ나 쳐먹어,,야한쇼닷컴,,,,,미친놈,,,,
,존만한색기,,야한영화,,,,,미친뇬,,,,
,질싸?,,야한이야기,,,,,미친뇽,,,,
,지랄 취업비자로 들어온 애들은 한국인이랑 임금 같음 ^^아빠회사 이제 외국인 안쓸꺼라고 존나 게으르다고참고로 토목회사임,,야한클럽,,,,,미친눔,,,,
,씹벌레색기가 머라는거야..? ㅋㅋㅋ,,야해,,,,,미친색이,,,,
,아니 병신아내가 댓글 앞페이지에서 예지누나 이쁘냐고 물으니까 니가 니입으로 ㅈ같이 생겻다며? 왜 시비냐?그리고 좆같이 생긴 누나로 어떻게 딸잡냐?,,야해요,,,,,미친섀리,,,,
,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 부끄럽네 씹쌍규 저희 지역굽니다. 아주 개새끼죠 ㅋㅋㅋㅋ,,어덜트10000,,,,,미친쌍,,,,
,조가튼 소리하고 있네 자살시도한 사람은 80프로이상 다시 자살시도 하는,,어덜트TV,,,,,미친쌍녕,,,,
,닉이랑 짤 존나 귀엽노,,어덜트라이프,,,,,미친쌍놈,,,,
,그럼 뇌물현으로떰ㅅ냐?,,어덜트랜드,,,,,미친쌍농,,,,
,응 경찰대 떡상 ㅅㄱ,,어덜트섹시성인영화관,,,,,미친쌍뇽,,,,
,씹세 안녕~~,,어덜트존,,,,,미친쌔,,,,
,아침에 위치알려주는거만큼 짜증나는일이 없음.개병신새끼들 주소를 주고 근처건물위치 알려줘도 어디냐고 전화꼭한다,,어덜트천사TV,,,,,미친씹후까시,,,,
,주게이 크루수장 무시하노!!!,,어덜트코믹플러스,,,,,미튄넘,,,,
,아니 일게이새끼들 200명만 비추찍어도 버티는데,,어덜트탑10,,,,,미튄년,,,,
,중딩 같지 않은디? 그냥 쥐좆만한년 데려다 컨셉질 아녀?,,어덜트피아,,,,,미틘년,,,,
,"개,돼지들은 저런말이 지들에게 해당 안된단고 생각함.",,에로,,,,,미틴넘,,,,
